request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today while keeping the minimum balance protected.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today while keeping the minimum balance protected.
request_28,689.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15; the EUR 1100 minimum is not protected.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today while keeping the minimum balance protected.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments of USD 268.74; the minimum balance remains protected.
request_31,13840360.0,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Wait until 2024-09-15, when the full IDR 18164000 payment is safe."
request_32,33305.8,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Wait until 2025-02-15, when the full ZAR 40018 payment is safe."
request_33,65180.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15; the INR 102100 minimum is not protected.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today while keeping the minimum balance protected.
request_35,125130.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15; the INR 106400 minimum is not protected.
request_36,1446.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15; the USD 2400 minimum is not protected.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15; the IDR 17056200 minimum is not protected.
request_38,379.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15; the EUR 400 minimum is not protected.
request_39,203105.0,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Wait until 2026-04-15, when the full INR 208600 payment is safe."
request_40,851.0,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,"Wait until 2024-06-15, when the full EUR 1290.3 payment is safe."
request_41,21888950.0,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Wait until 2025-11-15, when the full IDR 38760000 payment is safe."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today while keeping the minimum balance protected.
request_43,13988750.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15; the IDR 21398000 minimum is not protected.
request_44,74560.0,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Wait until 2025-02-15, when the full INR 95800 payment is safe."
request_45,8833100.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15; the IDR 11149800 minimum is not protected.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Use 2 installments of INR 25714; the minimum balance remains protected.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today while keeping the minimum balance protected.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today while keeping the minimum balance protected.
request_49,20228793.34,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-22; the IDR 20275700 minimum is not protected.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today while keeping the minimum balance protected.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today while keeping the minimum balance protected.
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Pay INR 28870 today while keeping the minimum balance protected.
request_53,1423.42,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-20; the USD 2100 minimum is not protected.
request_54,16581.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21; the ZAR 37000 minimum is not protected.
request_55,176241.19,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-22; the INR 124300 minimum is not protected.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,Use 2 installments of USD 458.42; the minimum balance remains protected.
request_57,21214.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15; the ZAR 42700 minimum is not protected.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today while keeping the minimum balance protected.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 installments of INR 48741.33; the minimum balance remains protected.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today while keeping the minimum balance protected.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 installments of ZAR 10074.83; the minimum balance remains protected.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today while keeping the minimum balance protected.
request_63,90145.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-17; the INR 153500 minimum is not protected.
request_64,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16; the INR 36100 minimum is not protected.
request_65,13024.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25; the ZAR 15500 minimum is not protected.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today while keeping the minimum balance protected.
request_67,792.54,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Wait until 2024-09-15, when the full USD 2094 payment is safe."
request_68,2091.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-16; the USD 1500 minimum is not protected.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today while keeping the minimum balance protected.
request_70,93360.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-15; the INR 115000 minimum is not protected.
request_71,7485050.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-28; the IDR 8884800 minimum is not protected.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today while keeping the minimum balance protected.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today while keeping the minimum balance protected.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today while keeping the minimum balance protected.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use 3 installments of ZAR 9800.27; the minimum balance remains protected.
request_76,1538.8,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30; the USD 1800 minimum is not protected.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today while keeping the minimum balance protected.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today while keeping the minimum balance protected.
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,Pay EUR 1104.08 now and the remainder on 2024-09-15.
request_80,152115.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-21; the INR 121300 minimum is not protected.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today while keeping the minimum balance protected.
request_82,1011.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-15; the USD 1100 minimum is not protected.
request_83,28330.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-17; the INR 37800 minimum is not protected.
request_84,56565.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15; the INR 91300 minimum is not protected.
request_85,2422120.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-26; the IDR 6396300 minimum is not protected.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today while keeping the minimum balance protected.
request_87,92850.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15; the INR 185900 minimum is not protected.
request_88,15557.89,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-25; the ZAR 25800 minimum is not protected.
request_89,13756000.0,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,Use 3 installments of IDR 4768746.67; the minimum balance remains protected.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today while keeping the minimum balance protected.
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,Pay EUR 1927.2 today while keeping the minimum balance protected.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today while keeping the minimum balance protected.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today while keeping the minimum balance protected.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today while keeping the minimum balance protected.
request_95,137865.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-14; the INR 145500 minimum is not protected.
request_96,90200.0,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,Use 3 installments of INR 31269.33; the minimum balance remains protected.
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Use 3 installments of ZAR 8145.28; the minimum balance remains protected.
request_98,17244.7,affordable_later,wait,2025-08-15:27148,2025-08-15,none,"Wait until 2025-08-15, when the full ZAR 27148 payment is safe."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today while keeping the minimum balance protected.
request_100,34836.13,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use 3 installments of ZAR 12866.19; the minimum balance remains protected.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today while keeping the minimum balance protected.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use 3 installments of EUR 594.88; the minimum balance remains protected.
request_103,35759.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-10-07; the INR 125500 minimum is not protected.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today while keeping the minimum balance protected.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today while keeping the minimum balance protected.
request_106,1401.7,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,"Wait until 2024-12-15, when the full EUR 2207.7 payment is safe."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,Use 3 installments of EUR 878.59; the minimum balance remains protected.
request_108,7836.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26; the ZAR 24100 minimum is not protected.
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use 3 installments of EUR 645.98; the minimum balance remains protected.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use 3 installments of ZAR 7748.69; the minimum balance remains protected.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today while keeping the minimum balance protected.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today while keeping the minimum balance protected.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today while keeping the minimum balance protected.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today while keeping the minimum balance protected.
request_115,27135.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15; the INR 38800 minimum is not protected.
request_116,58075.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-16; the INR 80300 minimum is not protected.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today while keeping the minimum balance protected.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,Use 3 installments of EUR 255.87; the minimum balance remains protected.
request_119,130901.01,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-17; the INR 151200 minimum is not protected.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today while keeping the minimum balance protected.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today while keeping the minimum balance protected.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use 3 installments of IDR 7126773.33; the minimum balance remains protected.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today while keeping the minimum balance protected.
request_124,2049.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Use 3 installments of EUR 1076.12; the minimum balance remains protected.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today while keeping the minimum balance protected.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today while keeping the minimum balance protected.
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,Pay ZAR 23980 today while keeping the minimum balance protected.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today while keeping the minimum balance protected.
request_129,288.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18; the USD 800 minimum is not protected.
request_130,917.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-15; the USD 1400 minimum is not protected.
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,Use 3 installments of USD 643.14; the minimum balance remains protected.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today while keeping the minimum balance protected.
request_133,15770000.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-03-29; the IDR 9986200 minimum is not protected.
request_134,12118200.0,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Wait until 2025-08-15, when the full IDR 21831000 payment is safe."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today while keeping the minimum balance protected.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 today while keeping the minimum balance protected.
request_137,67960.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15; the INR 71800 minimum is not protected.
request_138,1209.9,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-05; the EUR 2300 minimum is not protected.
request_139,2185.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Use 3 installments of USD 802.88; the minimum balance remains protected.
request_140,11074.8,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04; the ZAR 21600 minimum is not protected.
request_141,51435.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-12; the INR 67300 minimum is not protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today while keeping the minimum balance protected.
request_143,8384.2,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-15; the ZAR 11300 minimum is not protected.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today while keeping the minimum balance protected.
request_145,105613.66,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-26; the INR 155400 minimum is not protected.
request_146,81465.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-17; the INR 108600 minimum is not protected.
request_147,741.53,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07; the EUR 900 minimum is not protected.
request_148,13181.08,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-18; the ZAR 20000 minimum is not protected.
request_149,36652.0,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,Use 3 installments of ZAR 12706.03; the minimum balance remains protected.
request_150,496.1,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,Use 3 installments of EUR 171.98; the minimum balance remains protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today while keeping the minimum balance protected.
request_152,13882.0,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,Use 3 installments of ZAR 4812.43; the minimum balance remains protected.
request_153,503.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-24; the USD 1400 minimum is not protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use 3 installments of EUR 563.61; the minimum balance remains protected.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today while keeping the minimum balance protected.
request_156,13588.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15; the ZAR 26900 minimum is not protected.
request_157,10091850.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15; the IDR 15714100 minimum is not protected.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use 3 installments of INR 84101.33; the minimum balance remains protected.
